"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Combined_Key","Incident_Rate","Case_Fatality_Ratio"
"1",NA,"","","Afghanistan","2021-02-03 05:22:52",33.93911,67.709953,55121,"Afghanistan",141.596067502594,4.36312839026868
"2",NA,"","","Albania","2021-02-03 05:22:52",41.1533,20.1683,79934,"Albania",2777.60789491973,1.74894287787425
"3",NA,"","","Algeria","2021-02-03 05:22:52",28.0339,1.6596,107841,"Algeria",245.92573544944,2.68728962083067
"4",NA,"","","Andorra","2021-02-03 05:22:52",42.5063,1.5218,10017,"Andorra",12964.47291788,1.01826894279724
"5",NA,"","","Angola","2021-02-03 05:22:52",-11.2027,17.8739,19900,"Angola",60.5484017838594,2.35175879396985
"6",NA,"","","Antigua and Barbuda","2021-02-03 05:22:52",17.0608,-61.7964,249,"Antigua and Barbuda",254.268442120742,2.81124497991968
"7",NA,"","","Argentina","2021-02-03 05:22:52",-38.4161,-63.6167,1943548,"Argentina",4300.28672811621,2.49162871202564
"8",NA,"","","Armenia","2021-02-03 05:22:52",40.0691,45.0382,167231,"Armenia",5643.53000809251,1.84714556511652
"9",NA,"","Australian Capital Territory","Australia","2021-02-03 05:22:52",-35.4735,149.0124,118,"Australian Capital Territory, Australia",27.5636533520206,2.54237288135593
"10",NA,"","New South Wales","Australia","2021-02-03 05:22:52",-33.8688,151.2093,5114,"New South Wales, Australia",62.9958117762996,1.05592491200626
"11",NA,"","Northern Territory","Australia","2021-02-03 05:22:52",-12.4634,130.8456,98,"Northern Territory, Australia",39.9022801302932,0
"12",NA,"","Queensland","Australia","2021-02-03 05:22:52",-27.4698,153.0251,1311,"Queensland, Australia",25.6279933535334,0.45766590389016
"13",NA,"","South Australia","Australia","2021-02-03 05:22:52",-34.9285,138.6007,601,"South Australia, Australia",34.2157699971534,0.665557404326123
"14",NA,"","Tasmania","Australia","2021-02-03 05:22:52",-42.8821,147.3272,234,"Tasmania, Australia",43.6974789915966,5.55555555555556
"15",NA,"","Victoria","Australia","2021-02-03 05:22:52",-37.8136,144.9631,20449,"Victoria, Australia",308.436024676089,4.00997603794807
"16",NA,"","Western Australia","Australia","2021-02-03 05:22:52",-31.9505,115.8605,904,"Western Australia, Australia",34.3647836995362,0.995575221238938
"17",NA,"","","Austria","2021-02-03 05:22:52",47.5162,14.5501,416763,"Austria",4627.40939776159,1.88284468630853
"18",NA,"","","Azerbaijan","2021-02-03 05:22:52",40.1431,47.5769,230455,"Azerbaijan",2272.91668207719,1.36295589160574
"19",NA,"","","Bahamas","2021-02-03 05:22:52",25.025885,-78.035889,8223,"Bahamas",2091.04687118561,2.14033807612793
"20",NA,"","","Bahrain","2021-02-03 05:22:52",26.0275,50.55,104239,"Bahrain",6126.00149390303,0.360709523307016
"21",NA,"","","Bangladesh","2021-02-03 05:22:52",23.685,90.3563,536107,"Bangladesh",325.52614517962,1.52003238159547
"22",NA,"","","Barbados","2021-02-03 05:22:52",13.1939,-59.5432,1586,"Barbados",551.899808957758,0.882723833543506
"23",NA,"","","Belarus","2021-02-03 05:22:52",53.7098,27.9534,249994,"Belarus",2645.62924679985,0.694816675600214
"24",NA,"","Antwerp","Belgium","2021-02-03 05:22:52",51.2195,4.4024,88993,"Antwerp, Belgium",4789.75621990693,0
"25",NA,"","Brussels","Belgium","2021-02-03 05:22:52",50.8503,4.3517,88527,"Brussels, Belgium",7325.10744351458,0
"26",NA,"","East Flanders","Belgium","2021-02-03 05:22:52",51.0362,3.7373,74098,"East Flanders, Belgium",4890.75048974829,0
"27",NA,"","Flemish Brabant","Belgium","2021-02-03 05:22:52",50.9167,4.5833,54497,"Flemish Brabant, Belgium",4754.68405784457,0
"28",NA,"","Hainaut","Belgium","2021-02-03 05:22:52",50.5257,4.0621,109640,"Hainaut, Belgium",8156.27554880412,0
"29",NA,"","Liege","Belgium","2021-02-03 05:22:52",50.4496,5.8492,101838,"Liege, Belgium",9199.52447714166,0
"30",NA,"","Limburg","Belgium","2021-02-03 05:22:52",50.9739,5.342,34946,"Limburg, Belgium",3998.1785897342,0
"31",NA,"","Luxembourg","Belgium","2021-02-03 05:22:52",50.0547,5.4677,20131,"Luxembourg, Belgium",7072.49207765653,0
"32",NA,"","Namur","Belgium","2021-02-03 05:22:52",50.331,4.8221,37678,"Namur, Belgium",7622.11095938907,0
"33",NA,"","Unknown","Belgium","2021-02-03 05:22:52",NA,NA,12680,"Unknown, Belgium",NA,166.979495268139
"34",NA,"","Walloon Brabant","Belgium","2021-02-03 05:22:52",50.4,4.35,27608,"Walloon Brabant, Belgium",6840.4530239173,0
"35",NA,"","West Flanders","Belgium","2021-02-03 05:22:52",51.0536,3.1458,62635,"West Flanders, Belgium",5237.93356057388,0
"36",NA,"","","Belize","2021-02-03 05:22:52",17.1899,-88.4976,11957,"Belize",3007.13493502607,2.53408045496362
"37",NA,"","","Benin","2021-02-03 05:22:52",9.3077,2.3158,3893,"Benin",32.1119889322933,1.33573079886977
"38",NA,"","","Bhutan","2021-02-03 05:22:52",27.5142,90.4336,859,"Bhutan",111.325381150112,0.116414435389988
"39",NA,"","","Bolivia","2021-02-03 05:22:52",-16.2902,-63.5887,220426,"Bolivia",1888.3359237778,4.76940106883943
"40",NA,"","","Bosnia and Herzegovina","2021-02-03 05:22:52",43.9159,17.6791,122461,"Bosnia and Herzegovina",3732.63960326931,3.86817027461804
"41",NA,"","","Botswana","2021-02-03 05:22:52",-22.3285,24.6849,22738,"Botswana",966.905862967097,0.650892778608497
